alpha,tau,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.75,15.0,13878.1,135870.3,-121992.2,-1.5552
0.75,16.0,16238.4,138814.8,-122576.4,-1.554
0.75,17.0,18406.5,141552.3,-123145.8,-1.5531
0.75,18.0,20574.6,144289.7,-123715.1,-1.5522
0.75,19.0,22562.1,146826.5,-124264.4,-1.5512
0.75,20.0,24549.7,149363.3,-124813.6,-1.5503
0.75,21.0,26368.1,151706.8,-125338.7,-1.5494
0.75,22.0,28186.5,154050.3,-125863.8,-1.5485
0.75,23.0,29845.4,156207.7,-126362.3,-1.5476
0.75,24.0,31504.4,158365.1,-126860.7,-1.5466
0.75,25.0,33008.3,160341.1,-127332.8,-1.5459
0.75,26.0,34512.2,162317.1,-127804.9,-1.5451
0.75,27.0,35880.5,164127.8,-128247.4,-1.5443
0.75,28.0,37248.7,165938.6,-128689.9,-1.5435
0.75,29.0,38491.2,167594.0,-129102.8,-1.5427
0.75,30.0,39733.7,169249.4,-129515.7,-1.5419
